PLAYER,POS,TEAM,GP,MPG,FGM,FG%,FTM,FT%,3PM,3P%,PTS,DREB,OREB,TREB,AST,STL,BLK,TO,DD,A/TO
Nikola Jokic?,"PF,C",DEN,74,33.5,10.3,0.583(10.3/17.7),5.1,0.810(5.1/6.3),1.3,0.337(1.3/3.9),27.1,11,2.8,13.7,7.9,1.5,0.9,3.8,0.9,2.1
Joel Embiid?,"PF,C",PHI,68,33.8,9.8,0.499(9.8/19.6),9.6,0.815(9.6/11.8),1.4,0.371(1.4/3.7),30.6,9.6,2.1,11.7,4.2,1.1,1.5,3.1,0.7,1.3
Giannis Antetokounmpo?,"PF,C",MIL,67,32.9,10.3,0.554(10.3/18.6),8.3,0.722(8.3/11.4),1.1,0.294(1.1/3.6),29.9,9.6,2,11.6,5.8,1.1,1.4,3.3,0.7,1.8
Kevin Durant,"SF,PF",BRO,55,37.3,10.5,0.519(10.5/20.3),6.8,0.909(6.8/7.4),2.1,0.383(2.1/5.5),29.9,6.9,0.5,7.4,6.4,0.9,0.9,3.5,0.3,1.8
Karl-Anthony Towns?,"PF,C",MIN,74,33.5,8.7,0.530(8.7/16.4),5.2,0.823(5.2/6.3),2,0.409(2.0/5.0),24.6,7.2,2.6,9.8,3.6,1,1.1,3.1,0.5,1.2
Rudy Gobert,C,UTA,66,32.2,5.5,0.712(5.5/7.7),4.6,0.690(4.6/6.7),0,0.000(0.0/0.1),15.6,11,3.7,14.7,1.1,0.7,2.1,1.8,0.8,0.6
LeBron James?,"PG,SG,SF",LAL,56,37.3,11.4,0.524(11.4/21.8),4.5,0.757(4.5/6.0),2.9,0.360(2.9/8.0),30.3,7.1,1.1,8.2,6.2,1.3,1.1,3.5,0.4,1.8
Trae Young,PG,ATL,76,34.9,9.4,0.461(9.4/20.3),6.6,0.904(6.6/7.3),3.1,0.382(3.1/8.0),28.4,3.1,0.7,3.7,9.7,1,0.1,4,0.6,2.4
James Harden?,"PG,SG",PHI,65,37.4,6.3,0.410(6.3/15.3),7.2,0.876(7.2/8.3),2.3,0.331(2.3/6.9),22,6.8,0.8,7.7,10.3,1.3,0.6,4.4,0.6,2.3
Luka Doncic?,"PG,SG",DAL,65,35.4,9.9,0.457(9.9/21.6),5.6,0.745(5.6/7.5),3.1,0.353(3.1/8.8),28.4,8.2,0.9,9.1,8.7,1.2,0.6,4.5,0.7,2
Domantas Sabonis?,"PF,C",SAC,62,34.5,7.2,0.572(7.2/12.5),4,0.742(4.0/5.4),0.6,0.310(0.6/2.0),18.9,8.9,3.3,12.1,5.2,1,0.4,3.1,0.7,1.7
Anthony Davis?,"PF,C",LAL,40,35.1,9.3,0.532(9.3/17.4),4.4,0.713(4.4/6.1),0.3,0.189(0.3/1.8),23.2,7.2,2.7,9.9,3.1,1.3,2.3,2.1,0.5,1.5
Dejounte Murray,"PG,SG",SAS,68,34.9,8.4,0.462(8.4/18.3),2.9,0.793(2.9/3.6),1.4,0.326(1.4/4.3),21.1,7.1,1.2,8.3,9.2,2,0.3,2.6,0.6,3.5
Jonas Valanciunas?,C,NOP,74,30.3,6.9,0.544(6.9/12.7),3.2,0.818(3.2/3.9),0.8,0.360(0.8/2.1),17.8,8.3,3.1,11.4,2.6,0.6,0.8,2.4,0.7,1.1
Kyrie Irving,"PG,SG",BRO,29,37.6,10,0.469(10.0/21.2),4.1,0.915(4.1/4.5),3.5,0.419(3.5/8.2),27.4,3.8,0.5,4.3,5.8,1.4,0.6,2.5,0.1,2.3
Jarrett Allen?,C,CLE,56,32.3,6.6,0.677(6.6/9.7),3,0.709(3.0/4.2),0,0.111(0.0/0.2),16.1,7.3,3.4,10.7,1.6,0.8,1.4,1.7,0.6,1
Jayson Tatum,"SF,PF",BOS,76,36,9.3,0.453(9.3/20.6),5.3,0.853(5.3/6.2),3,0.354(3.0/8.6),26.9,6.9,1.1,8,4.4,1,0.6,2.9,0.3,1.5
Bam Adebayo?,"PF,C",MIA,56,32.6,7.3,0.557(7.3/13.0),4.6,0.753(4.6/6.1),0,0.000(0.0/0.1),19.1,7.6,2.4,10.1,3.4,1.4,0.8,2.6,0.5,1.3
Stephen Curry?,"PG,SG",GSW,64,34.6,8.4,0.437(8.4/19.1),4.3,0.923(4.3/4.7),4.5,0.381(4.5/11.7),25.5,4.7,0.5,5.2,6.3,1.3,0.3,3.2,0.2,2
Jimmy Butler?,"SF,PF",MIA,57,33.9,7,0.479(7.0/14.6),7,0.871(7.0/8.0),0.5,0.230(0.5/2.0),21.4,4.1,1.8,5.9,5.5,1.6,0.5,2.1,0.2,2.6
Pascal Siakam?,"PF,C",TOR,68,37.9,8.8,0.494(8.8/17.8),4.2,0.750(4.2/5.6),1.1,0.343(1.1/3.2),22.8,6.7,1.9,8.6,5.3,1.3,0.6,2.7,0.4,2
Robert Williams III?,C,BOS,61,29.6,4.4,0.736(4.4/6.0),1.1,0.723(1.1/1.5),0,0.000(0.0/0.0),10,5.7,3.9,9.7,2,0.9,2.2,1,0.4,1.9
DeMar DeRozan?,"SF,PF",CHI,76,36.2,10.2,0.504(10.2/20.2),6.8,0.877(6.8/7.8),0.7,0.353(0.7/1.9),27.9,4.4,0.8,5.2,4.9,0.9,0.3,2.4,0.1,2.1
LaMelo Ball,"PG,SG",CHA,75,32.4,7.2,0.429(7.2/16.7),2.8,0.873(2.8/3.2),2.9,0.389(2.9/7.5),20.1,5.2,1.4,6.7,7.6,1.6,0.4,3.3,0.3,2.3
Kristaps Porzingis?,"PF,C",WAS,51,29.1,6.9,0.459(6.9/15.0),4.9,0.866(4.9/5.6),1.5,0.310(1.5/4.9),20.2,6.1,2,8.1,2.3,0.7,1.6,1.6,0.3,1.5
Nikola Vucevic?,C,CHI,73,33.2,7.5,0.473(7.5/15.8),1.3,0.759(1.3/1.7),1.4,0.313(1.4/4.5),17.6,9.1,1.9,11,3.2,1,1,1.9,0.6,1.7
Paul George?,"SF,PF",LAC,31,34.8,8.7,0.421(8.7/20.6),4.2,0.860(4.2/4.8),2.9,0.355(2.9/8.3),24.4,6.5,0.4,6.9,5.7,2.1,0.4,4,0.2,1.4
Deandre Ayton?,C,PHX,58,29.6,7.6,0.634(7.6/12.0),1.8,0.747(1.8/2.5),0.1,0.364(0.1/0.3),17.2,7.7,2.6,10.2,1.4,0.7,0.7,1.6,0.5,0.9
Devin Booker?,"SG,SF",PHX,68,34.5,9.7,0.466(9.7/20.9),4.6,0.867(4.6/5.3),2.7,0.383(2.7/7.0),26.8,4.4,0.7,5,4.8,1.1,0.4,2.4,0.1,2
Chris Paul?,PG,PHX,65,33,5.6,0.493(5.6/11.3),2.6,0.836(2.6/3.1),1,0.317(1.0/3.1),14.7,4,0.3,4.4,10.8,1.9,0.3,2.4,0.5,4.6
Ja Morant?,PG,MEM,57,33.2,10.2,0.493(10.2/20.7),5.5,0.761(5.5/7.3),1.5,0.343(1.5/4.5),27.4,4.4,1.4,5.7,6.7,1.2,0.4,3.4,0.2,2
Jaylen Hoard,SF,OKL,7,34.2,6.3,0.489(6.3/12.9),0.9,0.430(0.9/2.0),1.3,0.361(1.3/3.6),14.7,7.7,4.3,12,2.4,0.9,0.7,1.1,0.6,2.1
Darius Garland,PG,CLE,68,35.8,8,0.462(8.0/17.3),3.2,0.893(3.2/3.5),2.6,0.383(2.6/6.7),21.7,2.7,0.6,3.3,8.6,1.3,0.1,3.6,0.4,2.4
Fred VanVleet?,"PG,SG",TOR,65,37.9,6.8,0.403(6.8/16.9),3,0.871(3.0/3.4),3.7,0.377(3.7/9.9),20.3,3.8,0.7,4.4,6.7,1.7,0.6,2.6,0.2,2.6
Tyrese Haliburton,"PG,SG",IND,77,35,5.6,0.474(5.6/11.8),2.1,0.842(2.1/2.5),2.1,0.414(2.1/5.1),15.3,3.2,0.8,4,8.2,1.7,0.6,2.6,0.3,3.1
Jusuf Nurkic?,C,POR,56,28.2,5.7,0.534(5.7/10.7),3.3,0.689(3.3/4.8),0.3,0.270(0.3/1.0),15,8.1,3,11.1,2.8,1.1,0.6,2.6,0.5,1.1
Clint Capela,C,ATL,74,27.7,5,0.613(5.0/8.2),1.1,0.474(1.1/2.3),0,0.000(0.0/0.0),11.1,8.1,3.7,11.8,1.2,0.7,1.3,0.6,0.5,2.1
Christian Wood?,"PF,C",HOU,68,30.8,6.5,0.500(6.5/12.9),3,0.623(3.0/4.9),1.9,0.391(1.9/4.9),17.9,8.5,1.6,10.1,2.3,0.8,1,1.9,0.5,1.2
Jakob Poeltl,C,SAS,68,29,6,0.618(6.0/9.8),1.4,0.495(1.4/2.8),0,1.000(0.0/0.0),13.5,5.5,3.9,9.3,2.8,0.7,1.7,1.6,0.4,1.7
Shai Gilgeous-Alexander,"PG,SG",OKL,56,34.7,8.5,0.454(8.5/18.8),5.9,0.811(5.9/7.2),1.6,0.300(1.6/5.3),24.5,4.3,0.7,5,5.9,1.3,0.8,2.7,0.1,2.2
Jrue Holiday,"PG,SG",MIL,67,33,7.1,0.501(7.1/14.2),2,0.758(2.0/2.7),2,0.411(2.0/4.8),18.3,3.5,1,4.5,6.8,1.6,0.4,2.7,0.2,2.5
Wendell Carter Jr.?,"PF,C",ORL,62,29.9,5.8,0.525(5.8/11.0),2.3,0.692(2.3/3.3),1.1,0.328(1.1/3.5),15,8.2,2.2,10.4,2.8,0.6,0.7,1.9,0.5,1.4
Miles Bridges,"SF,PF",CHA,80,35.5,7.4,0.491(7.4/15.2),3.3,0.803(3.3/4.2),1.9,0.333(1.9/5.8),20.1,5.9,1.1,7,3.8,0.9,0.8,1.9,0.2,2
Donovan Mitchell?,"PG,SG",UTA,67,33.9,9.2,0.448(9.2/20.6),4,0.854(4.0/4.7),3.5,0.355(3.5/9.8),25.9,3.4,0.8,4.2,5.3,1.5,0.2,3,0,1.8
Damian Lillard?,PG,POR,29,36.5,7.7,0.403(7.7/19.0),5.5,0.878(5.5/6.2),3.2,0.324(3.2/9.8),24,3.7,0.4,4.1,7.3,0.6,0.4,2.9,0.3,2.6
Zach LaVine?,"SG,SF",CHI,67,34.8,8.4,0.476(8.4/17.7),4.8,0.854(4.8/5.6),2.8,0.389(2.8/7.1),24.4,4.3,0.3,4.6,4.5,0.6,0.3,2.6,0,1.8
Khris Middleton?,"SF,PF",MIL,66,32.5,6.9,0.443(6.9/15.5),3.9,0.889(3.9/4.4),2.5,0.372(2.5/6.6),20.1,4.8,0.6,5.4,5.4,1.2,0.3,2.9,0.1,1.9
John Collins?,"PF,C",ATL,54,30.8,6.3,0.527(6.3/11.9),2.5,0.792(2.5/3.1),1.2,0.365(1.2/3.3),16.2,6.1,1.7,7.8,1.8,0.6,1,1.1,0.3,1.6
Julius Randle?,"PF,C",NYK,72,35.4,7.1,0.411(7.1/17.3),4.2,0.756(4.2/5.6),1.7,0.308(1.7/5.4),20.1,8.2,1.7,10,5.1,0.7,0.5,3.4,0.4,1.5
Lonzo Ball?,"PG,SG",CHI,35,34.7,4.6,0.423(4.6/10.9),0.6,0.750(0.6/0.8),3.1,0.423(3.1/7.4),13,4.4,1,5.4,5.1,1.8,0.9,2.3,0.1,2.2
Myles Turner?,"PF,C",IND,42,29.5,4.8,0.509(4.8/9.4),1.9,0.752(1.9/2.5),1.5,0.333(1.5/4.4),12.9,5.5,1.5,7.1,1,0.7,2.8,1.3,0.2,0.8
Bobby Portis?,"PF,C",MIL,72,28.2,5.8,0.479(5.8/12.1),1.2,0.752(1.2/1.6),1.9,0.394(1.9/4.7),14.6,6.6,2.5,9.1,1.2,0.7,0.7,1.3,0.3,1
Brandon Ingram?,"SF,PF",NOP,55,34.1,8.2,0.462(8.2/17.9),4.8,0.827(4.8/5.9),1.4,0.328(1.4/4.1),22.7,5.2,0.6,5.8,5.6,0.6,0.5,2.8,0.1,2
Jaylen Brown,"SG,SF",BOS,66,33.7,8.7,0.473(8.7/18.4),3.7,0.757(3.7/4.8),2.5,0.358(2.5/7.0),23.6,5.3,0.8,6.1,3.5,1,0.3,2.7,0.2,1.3
Malcolm Brogdon?,"PG,SG",IND,36,33.6,6.8,0.448(6.8/15.1),4,0.856(4.0/4.6),1.6,0.311(1.6/5.2),19.1,4.2,0.9,5.1,5.9,0.9,0.4,2.1,0.2,2.8
Evan Mobley,"PF,C",CLE,69,33.8,6.1,0.508(6.1/12.0),2.4,0.663(2.4/3.7),0.3,0.248(0.3/1.3),15,6.2,2.1,8.3,2.5,0.8,1.7,1.9,0.3,1.3
Kyle Kuzma?,"SF,PF",WAS,66,33.4,6.4,0.452(6.4/14.2),2.4,0.711(2.4/3.3),1.9,0.342(1.9/5.7),17.1,7.5,1.1,8.5,3.5,0.6,0.9,2.5,0.4,1.4
Desmond Bane,"PG,SG,SF",MEM,76,29.8,6.7,0.461(6.7/14.5),1.8,0.902(1.8/2.0),3,0.436(3.0/6.9),18.2,3.8,0.6,4.4,2.7,1.2,0.4,1.5,0,1.9
Al Horford,"PF,C",BOS,69,29.1,3.9,0.468(3.9/8.3),1.2,0.841(1.2/1.4),1.3,0.336(1.3/3.8),10.2,6.1,1.6,7.7,3.4,0.7,1.3,0.9,0.2,3.6
Kyle Lowry?,PG,MIA,63,33.9,4.4,0.440(4.4/10.0),2.4,0.851(2.4/2.8),2.3,0.378(2.3/6.1),13.4,4,0.5,4.5,7.5,1.1,0.3,2.7,0.3,2.8
Terry Rozier,"PG,SG",CHA,73,33.7,7.1,0.444(7.1/16.0),2.1,0.851(2.1/2.4),3,0.373(3.0/8.1),19.3,3.5,0.8,4.3,4.5,1.3,0.3,1.3,0,3.4
Mo Bamba,C,ORL,71,25.8,4.2,0.479(4.2/8.7),0.8,0.777(0.8/1.0),1.5,0.381(1.5/4.0),10.6,6,2.1,8.1,1.2,0.5,1.7,1.1,0.3,1.1
Scottie Barnes,"SF,PF",TOR,74,35.4,6.2,0.492(6.2/12.6),2.1,0.735(2.1/2.9),0.8,0.299(0.8/2.6),15.3,4.9,2.6,7.5,3.5,1.1,0.7,1.8,0.2,1.9
Bradley Beal?,"SG,SF",WAS,40,36,8.7,0.451(8.7/19.3),4.2,0.831(4.2/5.0),1.6,0.301(1.6/5.3),23.2,3.8,1,4.7,6.6,0.9,0.4,3.4,0.1,2
Tobias Harris,"SF,PF",PHI,73,34.9,6.8,0.482(6.8/14.0),2.3,0.841(2.3/2.8),1.4,0.366(1.4/3.8),17.2,5.7,1.1,6.8,3.4,0.6,0.6,1.6,0.1,2.2
Jaren Jackson Jr.?,"PF,C",MEM,78,27.3,5.5,0.415(5.5/13.3),3.6,0.824(3.6/4.4),1.6,0.319(1.6/5.1),16.3,4.3,1.5,5.8,1.1,0.9,2.3,1.7,0.1,0.7
CJ McCollum,"PG,SG",NOP,62,34.7,8.7,0.461(8.7/18.8),1.9,0.682(1.9/2.7),2.9,0.389(2.9/7.6),22.1,3.5,0.9,4.3,5.1,1.1,0.4,2,0,2.5
Ivica Zubac,C,LAC,76,24.4,4.1,0.627(4.1/6.5),2.2,0.726(2.2/3.0),0,0.000(0.0/0.0),10.3,5.6,2.9,8.5,1.6,0.5,1,1.5,0.3,1.1
Mitchell Robinson?,C,NYK,72,25.7,3.6,0.763(3.6/4.8),1.2,0.486(1.2/2.5),0,0.000(0.0/0.0),8.5,4.5,4.1,8.6,0.5,0.8,1.8,0.8,0.3,0.6
Josh Hart?,"SG,SF",POR,54,33.2,5.3,0.504(5.3/10.5),3,0.757(3.0/3.9),1.4,0.343(1.4/3.9),14.9,6,1.1,7.2,4.1,1.1,0.2,2.1,0.2,2
Anthony Edwards,"SG,SF",MIN,72,34.3,7.6,0.442(7.6/17.3),3.1,0.787(3.1/3.9),3,0.358(3.0/8.4),21.3,3.9,0.8,4.7,3.8,1.4,0.6,2.6,0,1.4
Tyrese Maxey,"PG,SG",PHI,75,35.4,6.4,0.485(6.4/13.3),2.8,0.866(2.8/3.3),1.8,0.427(1.8/4.1),17.5,2.9,0.3,3.2,4.3,0.7,0.4,1.2,0,3.6
Russell Westbrook?,PG,LAL,78,34.4,7,0.445(7.0/15.8),3.4,0.666(3.4/5.1),1,0.297(1.0/3.4),18.5,6,1.4,7.4,7.1,0.9,0.3,3.8,0.4,1.9
Steven Adams?,C,MEM,76,26.3,2.8,0.548(2.8/5.0),1.4,0.542(1.4/2.6),0,0.000(0.0/0.0),6.9,5.4,4.6,10,3.4,0.9,0.8,1.5,0.2,2.2
Harrison Barnes,"SF,PF",SAC,77,33.6,5.1,0.470(5.1/10.8),4.4,0.826(4.4/5.4),1.8,0.393(1.8/4.7),16.4,4.5,1.1,5.6,2.4,0.7,0.2,1.5,0.1,1.6
Tyler Herro?,"PG,SG",MIA,66,32.6,7.6,0.446(7.6/17.0),2.9,0.867(2.9/3.3),2.7,0.398(2.7/6.7),20.7,4.5,0.5,5,4,0.7,0.1,2.6,0,1.5
OG Anunoby,"SF,PF",TOR,48,36,6.4,0.443(6.4/14.5),1.9,0.752(1.9/2.5),2.4,0.364(2.4/6.6),17.1,4,1.6,5.5,2.6,1.5,0.5,1.7,0.1,1.6
Jerami Grant?,"SF,PF",DET,47,32,6.3,0.426(6.3/14.9),4.6,0.838(4.6/5.5),1.9,0.359(1.9/5.4),19.2,3.5,0.6,4.1,2.4,0.9,1,1.8,0,1.3
De'Aaron Fox?,PG,SAC,59,35.4,8.8,0.473(8.8/18.5),4.4,0.749(4.4/5.9),1.3,0.296(1.3/4.2),23.2,3.5,0.4,3.9,5.6,1.2,0.4,2.8,0.1,2
Draymond Green,"PF,C",GSW,46,29,2.9,0.524(2.9/5.6),1.3,0.657(1.3/2.0),0.4,0.299(0.4/1.2),7.5,6.3,1,7.3,7,1.4,1.1,3,0.1,2.3
D'Angelo Russell?,"PG,SG",MIN,65,32,6.2,0.411(6.2/15.0),3.1,0.827(3.1/3.7),2.7,0.340(2.7/8.0),18.1,2.9,0.4,3.3,7.1,1,0.3,2.5,0.2,2.8
Kevin Love,"PF,C",CLE,74,22.5,4.4,0.430(4.4/10.3),2.2,0.836(2.2/2.7),2.5,0.392(2.5/6.5),13.6,6.1,1.2,7.3,2.2,0.4,0.2,1.3,0.2,1.6
Cade Cunningham?,"PG,SG",DET,64,32.7,6.7,0.416(6.7/16.1),2.2,0.844(2.2/2.6),1.8,0.314(1.8/5.7),17.4,4.6,0.9,5.5,5.6,1.2,0.7,3.7,0.2,1.5
Norman Powell?,"SG,SF",LAC,45,32.4,6.2,0.461(6.2/13.4),4.2,0.811(4.2/5.2),2.4,0.420(2.4/5.6),19,2.8,0.4,3.2,2.1,0.9,0.5,1.5,0,1.4
Keldon Johnson,"SF,PF",SAS,75,31.9,6.3,0.466(6.3/13.5),2.4,0.756(2.4/3.1),2.1,0.398(2.1/5.3),17,5,1.1,6.1,2.1,0.8,0.2,1.2,0.1,1.7
Gordon Hayward?,"SG,SF",CHA,49,32,5.8,0.459(5.8/12.6),2.6,0.845(2.6/3.0),1.8,0.392(1.8/4.5),15.9,3.8,0.8,4.6,3.6,1,0.4,1.7,0,2.2
Jordan Poole,"PG,SG",GSW,76,30.1,6.2,0.448(6.2/13.9),3.2,0.926(3.2/3.5),2.8,0.364(2.8/7.6),18.5,3,0.4,3.4,4,0.8,0.3,2.5,0,1.6
Klay Thompson,"SG,SF",GSW,32,29.4,7.7,0.429(7.7/17.9),1.4,0.906(1.4/1.6),3.6,0.385(3.6/9.3),20.4,3.4,0.5,3.9,2.8,0.5,0.5,1.3,0,2
Gary Trent Jr.,"SG,SF",TOR,70,35,6.4,0.415(6.4/15.5),2.5,0.856(2.5/2.9),3,0.384(3.0/7.8),18.3,2.3,0.4,2.7,2,1.8,0.3,1,0,2
Jalen Brunson,"PG,SG",DAL,79,32,6.4,0.502(6.4/12.8),2.3,0.841(2.3/2.7),1.2,0.373(1.2/3.2),16.3,3.4,0.5,3.9,4.8,0.8,0,1.6,0.1,3
Richaun Holmes?,"PF,C",SAC,45,24,4.4,0.658(4.4/6.7),1.6,0.780(1.6/2.0),0,0.364(0.0/0.1),10.4,5,2.1,7.1,1.1,0.4,0.9,1.2,0.2,0.9
Andre Drummond,C,BRO,73,19.7,3.4,0.570(3.4/5.9),1.2,0.524(1.2/2.3),0,0.000(0.0/0.0),7.9,6.2,3.1,9.3,1.8,1.1,0.9,1.6,0.2,1.1
Mike Conley,PG,UTA,72,28.7,4.8,0.435(4.8/11.0),1.8,0.796(1.8/2.3),2.4,0.409(2.4/5.8),13.7,2.4,0.7,3,5.3,1.3,0.3,1.7,0,3.1
Mikal Bridges,"SG,SF",PHX,82,34.9,5.6,0.535(5.6/10.5),1.6,0.838(1.6/1.9),1.4,0.369(1.4/3.8),14.2,3.3,0.9,4.2,2.2,1.2,0.4,0.8,0,2.7
Cole Anthony?,"PG,SG",ORL,65,31.7,5.5,0.391(5.5/14.0),3.3,0.853(3.3/3.9),2,0.337(2.0/6.0),16.3,4.9,0.5,5.4,5.7,0.7,0.3,2.6,0.1,2.2
Montrezl Harrell,"PF,C",CHA,71,23.2,5,0.644(5.0/7.8),3,0.717(3.0/4.2),0.1,0.250(0.1/0.2),13.2,4,2.1,6.1,2,0.4,0.6,1,0.1,2
Josh Giddey?,"PG,SG,SF",OKL,54,31.5,5.2,0.419(5.2/12.4),1,0.712(1.0/1.5),1,0.264(1.0/3.9),12.5,6,1.8,7.8,6.4,0.9,0.4,3.2,0.3,2
Isaiah Stewart,"PF,C",DET,71,25.6,3.5,0.509(3.5/6.9),1,0.717(1.0/1.5),0.2,0.323(0.2/0.7),8.3,5.5,3.2,8.7,1.2,0.3,1.1,1.2,0.2,1
Aaron Gordon?,"SF,PF",DEN,75,31.7,5.8,0.521(5.8/11.1),2.3,0.743(2.3/3.1),1.2,0.334(1.2/3.5),15,4.2,1.7,5.8,2.5,0.6,0.6,1.8,0.1,1.4
Saddiq Bey,"SG,SF,PF",DET,82,33,5.5,0.396(5.5/13.9),2.6,0.826(2.6/3.1),2.6,0.345(2.6/7.4),16.1,4.1,1.3,5.4,2.8,0.9,0.2,1.2,0.1,2.4
Jarred Vanderbilt,"PF,C",MIN,74,25.5,2.9,0.586(2.9/4.9),1.2,0.655(1.2/1.8),0,0.158(0.0/0.2),6.9,5.5,2.9,8.4,1.3,1.3,0.6,1,0.1,1.3
Kevin Porter Jr.,"PG,SG,SF",HOU,61,31.3,5.5,0.414(5.5/13.3),2,0.642(2.0/3.2),2.5,0.375(2.5/6.8),15.6,3.7,0.7,4.4,6.2,1.1,0.4,3.1,0.2,2
Lauri Markkanen,"SF,PF,C",CLE,61,30.8,5.1,0.445(5.1/11.5),2.3,0.866(2.3/2.6),2.2,0.358(2.2/6.2),14.8,4.7,1,5.6,1.3,0.8,0.5,0.9,0,1.5
Seth Curry?,"PG,SG",BRO,64,33.4,5.6,0.487(5.6/11.6),1.3,0.871(1.3/1.5),2.5,0.423(2.5/5.8),15,2.8,0.3,3.1,3.6,0.8,0.2,1.7,0,2.1
Franz Wagner?,"SG,SF,PF",ORL,79,30.8,5.8,0.468(5.8/12.3),2.4,0.863(2.4/2.8),1.2,0.357(1.2/3.4),15.2,3.4,1.1,4.5,2.9,0.9,0.4,1.5,0,1.9
Brandon Clarke,"SF,PF",MEM,64,19.5,4.5,0.645(4.5/7.0),1.3,0.655(1.3/2.0),0.1,0.235(0.1/0.3),10.4,3.2,2.1,5.3,1.3,0.6,1.1,0.5,0.1,2.5
Hassan Whiteside,"PF,C",UTA,65,18,3.3,0.652(3.3/5.1),1.6,0.623(1.6/2.6),0,0.000(0.0/0.0),8.2,5,2.6,7.6,0.4,0.3,1.6,0.8,0.2,0.5
Frank Kaminsky,C,PHX,9,20.4,4,0.546(4.0/7.3),2,0.901(2.0/2.2),0.6,0.335(0.6/1.7),10.6,3.3,1.2,4.6,1.4,0.9,0.8,0.6,0,2.6
Alec Burks,"PG,SG,SF",NYK,81,28.7,3.5,0.392(3.5/9.0),2.7,0.822(2.7/3.3),1.9,0.404(1.9/4.8),11.7,4.3,0.6,4.9,3,1,0.3,1.1,0,2.7
Bojan Bogdanovic?,"SF,PF",UTA,69,31,6.1,0.455(6.1/13.5),3.2,0.857(3.2/3.8),2.6,0.386(2.6/6.8),18.1,3.4,0.8,4.3,1.7,0.5,0,1.7,0,1
Andrew Wiggins?,"SG,SF",GSW,73,32,6.5,0.466(6.5/14.0),2,0.634(2.0/3.2),2.2,0.393(2.2/5.5),17.2,3.3,1.2,4.4,2.2,1.1,0.7,1.5,0,1.5
Anfernee Simons?,"PG,SG",POR,57,29.5,6.2,0.443(6.2/14.0),1.8,0.887(1.8/2.0),3.1,0.405(3.1/7.8),17.3,2.2,0.5,2.6,3.9,0.5,0.1,2,0,1.9
Bogdan Bogdanovic,"SG,SF,PF",ATL,63,29.4,5.4,0.431(5.4/12.6),1.5,0.842(1.5/1.8),2.7,0.368(2.7/7.3),15.1,3.5,0.5,4,3.1,1.1,0.2,1.1,0,2.8
Daniel Gafford,C,WAS,72,20.1,4,0.696(4.0/5.7),1.5,0.700(1.5/2.1),0,0.000(0.0/0.0),9.4,3.5,2.2,5.7,0.9,0.4,1.4,0.9,0.1,1
Ricky Rubio?,PG,IND,34,28.5,4.4,0.362(4.4/12.1),2.6,0.855(2.6/3.0),1.7,0.340(1.7/5.1),13.1,3.7,0.4,4.1,6.6,1.4,0.2,2.6,0.1,2.5
Robert Covington,"PF,C",LAC,71,27.3,2.9,0.418(2.9/7.0),0.8,0.845(0.8/1.0),1.8,0.377(1.8/4.8),8.5,4.7,0.8,5.5,1.3,1.5,1.3,1.1,0,1.2
Cameron Johnson,"SF,PF",PHX,66,26.3,4.2,0.460(4.2/9.2),1.5,0.855(1.5/1.7),2.5,0.426(2.5/5.9),12.5,3.5,0.6,4.1,1.5,0.9,0.2,0.7,0,2.1
Derrick White,"PG,SG",BOS,75,29.4,4.5,0.421(4.5/10.7),2.7,0.866(2.7/3.1),1.5,0.311(1.5/4.9),13.2,3,0.5,3.5,4.9,0.8,0.8,1.6,0,3.1
LaMarcus Aldridge,"PF,C",BRO,47,22.5,5.4,0.549(5.4/9.8),1.9,0.871(1.9/2.2),0.3,0.306(0.3/1.0),12.9,3.9,1.6,5.5,0.9,0.3,1,0.9,0,1
Onyeka Okongwu,"PF,C",ATL,48,20.7,3.3,0.690(3.3/4.7),1.7,0.729(1.7/2.3),0,0.000(0.0/0.0),8.2,3.5,2.4,5.9,1.1,0.6,1.3,0.9,0,1.2
Monte Morris?,"PG,SG",DEN,75,29.9,5,0.484(5.0/10.3),1,0.866(1.0/1.1),1.7,0.394(1.7/4.2),12.6,2.7,0.4,3,4.4,0.7,0.2,1,0,4.3
Will Barton?,"SG,SF",DEN,71,32.2,5.5,0.437(5.5/12.6),1.4,0.804(1.4/1.8),2.2,0.365(2.2/6.1),14.7,4.2,0.6,4.8,3.9,0.8,0.4,1.8,0,2.2
Marcus Smart,"PG,SG",BOS,71,32.4,4.2,0.419(4.2/10.1),2,0.794(2.0/2.5),1.7,0.331(1.7/5.1),12.1,3.2,0.6,3.8,5.9,1.7,0.3,2.3,0,2.6
Willy Hernangomez,C,NOP,49,17.2,3.5,0.522(3.5/6.7),2.2,0.771(2.2/2.9),0.1,0.333(0.1/0.2),9.2,4,2.9,6.9,1.3,0.4,0.4,1,0.2,1.2
Spencer Dinwiddie,"PG,SG",DAL,67,29.6,4.6,0.417(4.6/11.0),2.9,0.774(2.9/3.8),1.7,0.340(1.7/4.9),13.7,3.5,0.7,4.2,5.2,0.7,0.2,1.6,0.1,3.3
Patrick Beverley,"PG,SG",MIN,58,25.6,3.1,0.406(3.1/7.5),1.7,0.725(1.7/2.3),1.4,0.343(1.4/4.2),9.2,3.1,1.1,4.1,4.6,1.2,0.9,1.3,0,3.7
